Year,     Jan,JanClass ,     Feb,FebClass ,     Mar,MarClass ,     Apr,AprClass ,     May,MayClass ,     Jun,JunClass ,     Jul, JulClass ,     Aug,AugClass ,     Sep, SepClass ,     Oct, OctClass,     Nov,NovClass ,     Dec,DecClass ,  Annual,AnnualClass ,  Winter, WinterClass ,  Spring, SpringClass,  Summer,SummerClass ,  Autumn, AutumnClass
1953,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1954,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1955,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1956,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1957,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1958,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1959,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1960,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1961,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1962,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1963,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1964,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1965,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1966,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,16.7,Adjusted,12.5,Adjusted,10.2,Adjusted,NA,Missing,NA,Missing,NA,Missing,NA,Missing,14.6,Adjusted
1967,8.9,Adjusted,9.5,Adjusted,11.8,Adjusted,13.1,Adjusted,12.7,Adjusted,13.4,Adjusted,13.2,Adjusted,13,Adjusted,16.3,Adjusted,12.7,Adjusted,13,Adjusted,8.6,Adjusted,12.2,Adjusted,9.5,Adjusted,12.5,Adjusted,13.2,Adjusted,14,Adjusted
1968,9.9,Adjusted,13.4,Adjusted,12.5,Adjusted,17.6,Adjusted,14.7,Adjusted,13.6,Adjusted,11.5,Adjusted,11.4,Adjusted,12.5,Adjusted,10.7,Adjusted,11.3,Adjusted,9,Adjusted,12.4,Adjusted,10.6,Adjusted,15,Adjusted,12.2,Adjusted,11.5,Adjusted
1969,5.1,Adjusted,8.2,Adjusted,10.3,Adjusted,18.3,Adjusted,15.5,Adjusted,10.3,Adjusted,10.4,Adjusted,8.2,Adjusted,9.2,Adjusted,13.9,Adjusted,13.2,Adjusted,13.7,Adjusted,11.4,Adjusted,7.4,Adjusted,14.7,Adjusted,9.6,Adjusted,12.1,Adjusted
1970,5.8,Adjusted,9.7,Adjusted,12.3,Adjusted,13.5,Adjusted,12.7,Adjusted,12.8,Adjusted,14.2,Adjusted,12.9,Adjusted,10.7,Adjusted,13.4,Adjusted,9.2,Adjusted,7.8,Adjusted,11.3,Adjusted,9.7,Adjusted,12.9,Adjusted,13.3,Adjusted,11.1,Adjusted
1971,8.4,Adjusted,11.6,Adjusted,10,Adjusted,19.5,Adjusted,25.3,Adjusted,17.9,Adjusted,15.1,Adjusted,14.2,Adjusted,15.5,Adjusted,17.5,Adjusted,9.5,Adjusted,9.7,Adjusted,14.5,Adjusted,9.3,Adjusted,18.3,Adjusted,15.7,Adjusted,14.2,Adjusted
1972,6.7,Adjusted,8.9,Adjusted,10.3,Adjusted,12.6,Adjusted,15.5,Adjusted,15.4,Adjusted,11.1,Adjusted,16.2,Adjusted,14.7,Adjusted,13.4,Adjusted,9.9,Adjusted,8.6,Adjusted,12,Adjusted,8.4,Adjusted,12.8,Adjusted,14.2,Adjusted,12.7,Adjusted
1973,6.4,Adjusted,7.7,Adjusted,10.8,Adjusted,18,Adjusted,21.1,Adjusted,17.3,Adjusted,15.5,Adjusted,15,Adjusted,14.9,Adjusted,14.8,Adjusted,11.7,Adjusted,7.7,Adjusted,13.4,Adjusted,7.6,Adjusted,16.6,Adjusted,15.9,Adjusted,13.8,Adjusted
1974,7.1,Adjusted,12.2,Adjusted,9.4,Adjusted,15.7,Adjusted,13.3,Adjusted,15.2,Adjusted,13.1,Adjusted,12.6,Adjusted,15.2,Adjusted,16.9,Adjusted,14.6,Adjusted,8.3,Adjusted,12.8,Adjusted,9,Adjusted,12.8,Adjusted,13.7,Adjusted,15.6,Adjusted
1975,7,Adjusted,13.9,Adjusted,7.7,Adjusted,16.7,Adjusted,14.7,Adjusted,16.3,Adjusted,14.5,Adjusted,11.1,Adjusted,13.5,Adjusted,13,Adjusted,6.8,Adjusted,9.6,Adjusted,12.1,Adjusted,9.7,Adjusted,13,Adjusted,14,Adjusted,11.1,Adjusted
1976,8.2,Adjusted,6.3,Adjusted,8.1,Adjusted,15.2,Adjusted,18.3,Adjusted,8.9,Adjusted,10.4,Adjusted,11.7,Adjusted,17.9,Adjusted,13.2,Adjusted,20.4,Adjusted,12.4,Adjusted,12.6,Adjusted,8,Adjusted,13.9,Adjusted,10.3,Adjusted,17.2,Adjusted
1977,7.3,Adjusted,14.3,Adjusted,11.5,Adjusted,17,Adjusted,14.9,Adjusted,12.8,Adjusted,11.1,Adjusted,11.4,Adjusted,15.7,Adjusted,20,Adjusted,9.6,Adjusted,3,Adjusted,12.4,Adjusted,11.3,Adjusted,14.5,Adjusted,11.8,Adjusted,15.1,Adjusted
1978,5.3,Adjusted,15.8,Adjusted,12.4,Adjusted,14,Adjusted,17,Adjusted,13.7,Adjusted,12.9,Adjusted,11.8,Adjusted,14.1,Adjusted,20.4,Adjusted,9.1,Adjusted,7.9,Adjusted,12.9,Adjusted,8,Adjusted,14.5,Adjusted,12.8,Adjusted,14.5,Adjusted
1979,4.5,Adjusted,6.8,Adjusted,11.2,Adjusted,8.5,Adjusted,16.1,Adjusted,15.5,Adjusted,14,Adjusted,14.7,Adjusted,14.2,Adjusted,17.1,Adjusted,14.3,Adjusted,7.2,Adjusted,12,Adjusted,6.4,Adjusted,11.9,Adjusted,14.7,Adjusted,15.2,Adjusted
1980,11.7,Adjusted,11.3,Adjusted,7.7,Adjusted,19.6,Adjusted,17,Adjusted,11.4,Adjusted,11.3,Adjusted,8.9,Adjusted,11.2,Adjusted,18.4,Adjusted,11.5,Adjusted,1.6,Adjusted,11.8,Adjusted,10.1,Adjusted,14.8,Adjusted,10.5,Adjusted,13.7,Adjusted
1981,15.8,Adjusted,5.7,Adjusted,10.8,Adjusted,13.7,Observed,15.6,Observed,12.6,Observed,13.2,Observed,19.4,Observed,15.3,Observed,11.9,Observed,13.8,Observed,8.8,Observed,13,Adjusted,7.7,Adjusted,13.3,Adjusted,15.1,Observed,13.6,Observed
1982,4.3,Observed,9.2,Observed,8,Observed,17,Observed,13.4,Observed,15.9,Observed,14.5,Observed,12,Observed,14.3,Observed,16,Observed,8.8,Observed,8.3,Observed,11.8,Observed,7.5,Observed,12.8,Observed,14.1,Observed,13,Observed
1983,8,Observed,7.9,Observed,6.9,Observed,15.6,Observed,15.4,Observed,16.5,Observed,13,Observed,16.4,Observed,15.6,Observed,16.7,Observed,9.8,Observed,2.9,Observed,12.1,Observed,8.1,Observed,12.7,Observed,15.3,Observed,14,Observed
1984,9.6,Observed,12,Observed,11.9,Observed,17.5,Observed,13.5,Observed,15.7,Observed,15.2,Observed,14.3,Observed,13.3,Observed,15.1,Observed,5.7,Observed,9.3,Observed,12.8,Observed,8.2,Observed,14.3,Observed,15.1,Observed,11.4,Observed
1985,15.7,Observed,9.9,Observed,14.3,Observed,15.9,Observed,15.1,Observed,15.9,Observed,9.3,Observed,10.3,Observed,12.9,Observed,10.6,Observed,8.8,Observed,10,Observed,12.4,Observed,11.6,Observed,15.1,Observed,11.8,Observed,10.8,Observed
1986,9.6,Observed,11,Observed,7.8,Observed,10,Observed,11.7,Observed,12,Observed,10.5,Observed,12.8,Observed,8.8,Observed,10.9,Observed,9.1,Observed,11.8,Observed,10.5,Observed,10.2,Observed,9.8,Observed,11.8,Observed,9.6,Observed
1987,11.7,Observed,10.9,Observed,8.3,Observed,14.2,Observed,13.1,Observed,19,Observed,11.4,Observed,8.5,Observed,17,Observed,14.6,Observed,12.1,Observed,9.5,Observed,12.5,Observed,11.4,Observed,11.8,Observed,13,Observed,14.6,Observed
1988,5,Observed,11.8,Observed,14.4,Observed,19.6,Observed,14.7,Observed,15.1,Observed,12.9,Observed,16.5,Observed,14.3,Observed,16.3,Observed,9.9,Observed,12.6,Observed,13.6,Observed,8.8,Observed,16.2,Observed,14.8,Observed,13.5,Observed
1989,10.3,Observed,4,Observed,8.4,Observed,11.6,Observed,14.9,Observed,14.9,Observed,12.1,Observed,13.4,Observed,13.9,Observed,18.1,Observed,8.1,Observed,13.5,Observed,11.9,Observed,9,Observed,11.6,Observed,13.5,Observed,13.4,Observed
1990,8.1,Observed,10.7,Observed,12.7,Observed,11.9,Observed,12.2,Observed,12.2,Observed,15,Observed,14.8,Observed,16.1,Observed,13.7,Observed,9.2,Observed,8.9,Observed,12.1,Observed,10.7,Observed,12.3,Observed,14,Observed,13,Observed
1991,7.4,Observed,9.6,Observed,11.6,Observed,17.5,Observed,20.2,Observed,12.7,Observed,14.2,Observed,14.8,Observed,17.3,Observed,11.1,Observed,9.7,Observed,11.2,Observed,13.1,Observed,8.6,Observed,16.4,Observed,13.9,Observed,12.7,Observed
1992,9.3,Observed,12.2,Observed,15.3,Observed,13.2,Observed,15.5,Observed,14.9,Observed,13.8,Observed,16.2,Observed,14.8,Observed,12.7,Observed,15.6,Observed,8.2,Observed,13.5,Observed,10.9,Observed,14.7,Observed,15,Observed,14.4,Observed
1993,NA,Missing,8.6,Observed,10.6,Observed,15.2,Observed,13.7,Observed,13.2,Observed,11.2,Observed,13.8,Observed,14.2,Observed,12.5,Observed,12,Observed,8,Observed,12.1,Observed,8.4,Observed,13.2,Observed,12.8,Observed,12.9,Observed
1994,7.3,Observed,8.5,Observed,17.9,Observed,16.4,Observed,18.1,Observed,16,Observed,15.9,Observed,11.7,Observed,16.3,Observed,16,Observed,14.5,Observed,10.4,Observed,14.1,Observed,7.9,Observed,17.5,Observed,14.5,Observed,15.6,Observed
1995,7.1,Observed,11.1,Observed,14.4,Observed,17.5,Observed,17.6,Observed,18.1,Observed,11.9,Observed,13.4,Observed,18.4,Observed,12.6,Observed,10.7,Observed,5.6,Observed,13.2,Observed,9.6,Observed,16.5,Observed,14.5,Observed,13.9,Observed
1996,3.7,Observed,15,Observed,11.2,Observed,15,Observed,13.3,Observed,16.6,Observed,13.3,Observed,13.6,Observed,17.2,Observed,12.2,Observed,5.6,Observed,7.4,Observed,12,Observed,8.1,Observed,13.2,Observed,14.5,Observed,11.7,Observed
1997,5.6,Observed,10.7,Observed,6.2,Observed,12.1,Observed,10.4,Observed,6.9,Observed,9,Observed,10.4,Observed,12.6,Observed,12.1,Observed,9.9,Observed,11.9,Observed,9.8,Observed,7.9,Observed,9.6,Observed,8.8,Observed,11.5,Observed
1998,5.5,Observed,8.5,Observed,8,Observed,15.3,Observed,17.6,Observed,14.5,Observed,17.5,Observed,16.5,Observed,13.3,Observed,11.4,Observed,7,Observed,6.8,Observed,11.8,Observed,8.6,Observed,13.7,Observed,16.2,Observed,10.6,Observed
1999,7,Observed,9.1,Observed,13.8,Observed,15.1,Observed,16.6,Observed,13,Observed,13.2,Observed,13.2,Observed,15.5,Observed,13.2,Observed,8.6,Observed,11.1,Observed,12.4,Observed,7.6,Observed,15.2,Observed,13.1,Observed,12.4,Observed
2000,10.8,Observed,4.1,Observed,12.5,Observed,14.4,Observed,12.9,Observed,12.6,Observed,14.3,Observed,10.2,Observed,12,Observed,17,Observed,9.9,Observed,7.9,Observed,11.5,Observed,8.6,Observed,13.2,Observed,12.4,Observed,13,Observed
2001,17.9,Observed,9.4,Observed,12.7,Observed,14.8,Observed,17.4,Observed,13.7,Observed,12.7,Observed,13.2,Observed,15.9,Observed,14.6,Observed,7.5,Observed,10,Observed,13.3,Observed,11.7,Observed,15,Observed,13.2,Observed,12.7,Observed
2002,11,Observed,9.3,Observed,8.6,Observed,9.6,Observed,11.9,Observed,14.6,Observed,12.8,Observed,13,Observed,13.1,Observed,15.9,Observed,15.2,Observed,6.1,Observed,11.8,Observed,10.1,Observed,10,Observed,13.5,Observed,14.7,Observed
2003,5.7,Observed,7.7,Observed,9.1,Observed,10.6,Observed,13.4,Observed,12.7,Observed,12.7,Observed,13.8,Observed,11.2,Observed,13.6,Observed,9.2,Observed,10.6,Observed,10.9,Observed,6.5,Observed,11.1,Observed,13,Observed,11.3,Observed
2004,6.5,Observed,11.4,Observed,11.6,Observed,14.8,Observed,12.7,Observed,10.9,Observed,11.9,Observed,8.3,Observed,15.1,Observed,13.1,Observed,8,Observed,9.9,Observed,11.2,Observed,9.5,Observed,13,Observed,10.4,Observed,12.1,Observed
2005,7.4,Observed,9.7,Observed,14.6,Observed,12.2,Observed,14.8,Observed,11.8,Observed,10.9,Observed,11.2,Observed,14.5,Observed,14.6,Observed,13.6,Observed,11.2,Observed,12.2,Observed,9,Observed,13.9,Observed,11.3,Observed,14.2,Observed
2006,4.5,Observed,12.1,Observed,10.9,Observed,13.8,Observed,16.4,Observed,15.5,Observed,14.3,Observed,17,Observed,17.1,Observed,14.2,Observed,8.8,Observed,14.2,Observed,13.2,Observed,9.3,Observed,13.7,Observed,15.6,Observed,13.4,Observed
2007,8.8,Observed,7.1,Observed,10.2,Observed,15.2,Observed,15.7,Observed,12.4,Observed,13.3,Observed,10.5,Observed,11.8,Observed,11.7,Observed,13.7,Observed,7.5,Observed,11.5,Observed,10,Observed,13.7,Observed,12.1,Observed,12.4,Observed
2008,5.5,Observed,12.9,Observed,12.7,Observed,13.9,Observed,17.7,Observed,14.8,Observed,13.6,Observed,11.9,Observed,15.3,Observed,14.9,Observed,9.7,Observed,6.1,Observed,12.4,Observed,8.6,Observed,14.8,Observed,13.4,Observed,13.3,Observed
2009,11.7,Observed,6.8,Observed,10.3,Observed,9.8,Observed,12,Observed,11.8,Observed,13,Observed,13.5,Observed,17.6,Observed,13.3,Observed,13,Observed,8.1,Observed,11.7,Observed,8.2,Observed,10.7,Observed,12.8,Observed,14.6,Observed
2010,3.1,Observed,10.6,Observed,16,Observed,17.6,Observed,13.3,Observed,16.5,Observed,14.6,Observed,11.6,Observed,10.6,Observed,16.7,Observed,13.5,Observed,7.6,Observed,12.6,Observed,7.3,Observed,15.6,Observed,14.2,Observed,13.6,Observed
2011,8.4,Observed,11.4,Observed,6.5,Observed,11.1,Observed,14.1,Observed,10.9,Observed,11.1,Observed,15.9,Observed,19.2,Observed,11.6,Observed,9.3,Observed,11.1,Observed,11.7,Observed,9.1,Observed,10.6,Observed,12.7,Observed,13.4,Observed
2012,11.1,Observed,14.3,Observed,5.7,Observed,9.5,Observed,19.9,Observed,14,Observed,16.2,Observed,12.5,Observed,23.5,Observed,12,Observed,7,Observed,7.8,Observed,12.8,Observed,12.2,Observed,11.7,Observed,14.2,Observed,14.1,Observed
2013,7.6,Observed,10.2,Observed,9.4,Observed,13.2,Observed,14.7,Observed,12.9,Observed,12.4,Observed,12.5,Observed,16.8,Observed,15.7,Observed,11.3,Observed,6.6,Observed,11.9,Observed,8.5,Observed,12.4,Observed,12.6,Observed,14.6,Observed
2014,12.5,Observed,8.1,Observed,9.6,Observed,11.4,Observed,12.8,Observed,20,Observed,14.3,Observed,16.7,Observed,15.6,Observed,12,Observed,7.4,Observed,7.4,Observed,12.3,Observed,9,Observed,11.2,Observed,17,Observed,11.7,Observed
